"Nom","Rareté","Catégorie","Condition de déblocage","Récompense","Débloqué"
"Rouage d'acier","Rare","Statistique","Atteindre 100 points de Discipline","+120 XP · titre « le·la Rigoureux·se »","Non"
"Cœur intrépide","Rare","Statistique","Atteindre 100 points de Courage","+120 XP · cadre « Brave »","Non"
"Pouls vital","Rare","Statistique","Atteindre 100 points de Vitalité","+120 XP · aura verte","Non"
"Aimant social","Rare","Statistique","Atteindre 100 points de Charisme","+120 XP · titre « le·la Liant·e »","Non"
"Roc mental","Rare","Statistique","Atteindre 100 points de Mental","+120 XP · halo acier","Non"
"Esprit vif","Rare","Statistique","Atteindre 100 points de Savoir","+120 XP · titre « le·la Curieux·se »","Non"
"Main créatrice","Rare","Statistique","Atteindre 100 points de Création","+120 XP · encre magenta","Non"
"Gardien serein","Rare","Statistique","Atteindre 100 points de Prospérité","+120 XP · titre « le·la Posé·e »","Non"
"Premier feu","Commun","Série","Série de 7 jours","+40 XP","Non"
"Braise tenace","Commun","Série","Série de 30 jours","+80 XP · cadre « Constance »","Non"
"Flamme de fer","Épique","Série","Série de 100 jours","+250 XP · flamme animée","Non"
"Année sans rompre","Légendaire","Série","Série de 365 jours","+1000 XP · titre « l'Indéfectible »","Non"
"Lève-tôt","Commun","Assiduité","Valider 20 défis avant 9 h","+50 XP","Non"
"Phénix","Rare","Reprise","Reprendre le lendemain après une série cassée (≥14 j)","+100 XP · plume de feu","Non"
"Phénix éternel","Épique","Reprise","Se relever 3 fois dans l'année","+300 XP · titre « le·la Increvable »","Non"
"Retour gagnant","Commun","Reprise","Revenir après 7 jours d'absence","+60 XP","Non"
"Premier palier","Commun","Progression","Atteindre le Rang 2 (Élan)","+50 XP","Non"
"À mi-chemin","Rare","Progression","Atteindre le Rang 5 (Aguerri)","+150 XP · cadre argent","Non"
"Octogone plein","Épique","Progression","Bonus Équilibre 8/8 sur 10 semaines cumulées","+300 XP · radar doré","Non"
"Tueur de BOSS","Épique","Jeu","Réussir 6 défis-BOSS de fin de mois","+350 XP · titre « le·la Briseur·se »","Non"
"Légende vivante","Légendaire","Progression","Atteindre le Rang 10 (niveau 46)","+500 XP · emblème Astre","Non"
"L'Année","Légendaire","Jeu","Compléter le niveau 50 / 365 jours","+1000 XP · Carte de l'Année · titre « Légende »","Non"
"Noctambule","Rare","Secret","Valider 10 défis après minuit","+100 XP · titre « l'Insomniaque »","Non"
"Polyvalent secret","Épique","Secret","Valider un défi dans les 8 stats en une journée","+300 XP · prisme","Non"
