ID,Title,Estimate,Sprint,Epic,Labels,Description
LUC-01,Monorepo + CI (types lint tests EAS),5,S1,A-Socle,infra,"Arborescence §1 du package, pnpm workspaces, workflows ci.yml, EAS configuré. DoD: CI verte sur PR vide."
LUC-02,Design tokens + thèmes clair/sombre/SOS,3,S1,A-Socle,design-system,"Tokens couleurs/typo/espacements (CDC §13), 3 thèmes. DoD: switch de thème démontré."
LUC-03,SQLite local: schéma + migrations + DAO,5,S1,A-Socle,mobile,"Tables locales (§TECH-DELIVERY 4), migrations versionnées, DAO typé. DoD: CRUD testé."
LUC-04,shared/rules: triage BR-01/02 + tests 12 profils,3,S1,A-Socle,rules,"triageOutcome + phq2Flag (rules.ts). DoD: 12 profils limites verts, couverture 100%."
LUC-05,shared/rules: BR-10/11/12/13/14 + tests,5,S1,A-Socle,rules,"isLapse, envelopeLock, belongsToWave, reboundHours, daysWithinCumulative. DoD: couverture 100%."
LUC-06,Supabase: migration 0001 + RLS + tests multi-comptes,5,S1,A-Socle,backend,"0001_init.sql appliquée, rls_test.sql écrit. DoD: un user ne lit que ses lignes (CI db verte)."
LUC-07,Auth Apple + OTP mail + gate navigation,5,S1,A-Socle,mobile,"Sign in with Apple, OTP, _layout gate (oriented/onboarding/tabs). DoD: 3 routes de gate démontrées."
LUC-08,Outbox + push/pull + idempotence,8,S2,A-Socle,sync,"Outbox pattern §10, batch ≤100, backoff, quarantaine rejected. DoD: test chaos réseau sans doublon ni perte."
LUC-09,Composants DS lot 1,5,S2,A-Socle,design-system,"Bouton, Chip, Sheet, Stepper, VisagesHumeur. DoD: Storybook + VoiceOver labels."
LUC-10,Composants DS lot 2,5,S2,A-Socle,design-system,"SliderVerres, GrilleCreneaux, TimelineVerticale, BadgePreuve, CarteContenu. DoD: idem."
LUC-11,Consentements art.9 + wrapper analytics opt-in,3,S2,A-Socle,rgpd,"3 consentements distincts, wrapper PostHog liste fermée. DoD: refus analytics = 0 requête réseau (test)."
LUC-12,Écrans É01-É03 (accueil objectif conso),5,S2,B-Onboarding,mobile,"Contenus CDC. DoD: parcours <90s, AUDIT-C calculé local."
LUC-13,É04 triage local + branche rouge,5,S3,B-Onboarding,mobile;safety,"Réponses JAMAIS réseau (C2). DoD: 8 combinaisons limites → rouge systématique."
LUC-14,É05 orientation + mode ressources,3,S3,B-Onboarding,mobile;safety,"Route (resources), tap-to-call, refaire le point. DoD: app utilisable sans compte."
LUC-15,É06 déclencheurs + créneaux,3,S3,B-Onboarding,mobile,"Min 1 trigger. DoD: draft MMKV persisté."
LUC-16,EnregistreurVocal + crypto coffre,8,S3,B-Onboarding,mobile;crypto,"AVAudioSession 90s, sodium secretbox, Keychain. DoD: fichier illisible hors app, lecture <500ms."
LUC-17,É08 trajectoire 72h (templates stop/reduce),3,S3,B-Onboarding,mobile;contenu,"Rendu depuis corpus. DoD: 2 variantes conformes, lecture <60s."
LUC-18,É09 compte + notifs + sync du draft onboarding,5,S4,B-Onboarding,mobile,"Création compte puis push profil+enveloppe+coffre (upload différé). DoD: draft survit au kill de l'app."
LUC-19,content-pipeline MD→JSON + manifest CDN,5,S4,C-Boucle,contenu;infra,"Validation frontmatter, blocs conditionnels S3, hash+signature. DoD: maj d'une carte sans release."
LUC-20,É11 Aujourd'hui: sélecteur d'états + 4 zones,8,S4,C-Boucle,mobile,"7 états CDC (fonction pure testée). DoD: tous états démontrés, offline complet."
LUC-21,É12 check-in + backfill J-1 + dispatch écart,5,S4,C-Boucle,mobile,"3 taps, S1 appliquée, au-dessus→T1. DoD: chrono <30s, texte 🔒 exact."
LUC-22,É13 carte du jour + rendu MD conditionnel,5,S5,C-Boucle,mobile;contenu,"J1→J90 correct au changement de fuseau. DoD: cartes passées en lecture seule."
LUC-23,É14 fiche source (sheet),2,S5,C-Boucle,mobile,"Source 3 phrases + ce que ça ne dit pas. DoD: accessible depuis toute carte."
LUC-24,É18 enveloppe: création/édition + verrous,5,S5,C-Boucle,mobile;rules,"envelopeLock rendu unique. DoD: verrou hebdo + 24h post-écart démontrés, texte 🔒."
LUC-25,SOS module isolé + règle ESLint no-network,3,S5,D-SOS,mobile;safety,"features/sos sans import réseau/analytics. DoD: lint échoue sur import interdit (test)."
LUC-26,CourbeEnvie (Reanimated + reduced motion),5,S5,D-SOS,mobile;design-system,"Spec anim §8. DoD: 60fps device réel, variante statique."
LUC-27,SOS-B outils: respiration + coffre + allié,5,S6,D-SOS,mobile,"Lecture audio locale, cercle 4-0-8, tel: allié. DoD: tout fonctionne en mode avion."
LUC-28,SOS-C sortie + capture + médiane perso,5,S6,D-SOS,mobile,"2 chips, restitution médiane SQL local. DoD: texte 🔒 exact avec vraies données."
LUC-29,SOS-D danger + tap-to-call vérifiés,2,S6,D-SOS,mobile;safety,"3114/15/112 + allié. DoD: appels vérifiés préprod, aucun autre élément."
LUC-30,Widget home + quick action → lucide://sos,3,S6,D-SOS,mobile,"S2 appliquée (pas de lock screen V1). DoD: SOS en ≤2 gestes depuis home."
LUC-31,Perf CI: ouverture SOS <2s,3,S6,D-SOS,infra;perf,"Job perf:sos. DoD: CI échoue si p95>2000ms."
LUC-32,Machine à états: intégration + tests 12 transitions,8,S7,E-Rebond,rules,"reduceWave branché client+serveur. DoD: T1-T12 + invariants I1-I5 verts."
LUC-33,É16 protocole R 3 étapes + filtre BR-03,8,S7,E-Rebond,mobile;safety,"Textes 🔒, chips, crisisPatternMatch avant stockage. DoD: complétion <2min30 en test utilisateur."
LUC-34,Rebond: calcul serveur + affichages É17,5,S8,E-Rebond,backend;mobile,"reboundHours serveur, grep jour 0 en CI. DoD: exact sur 10 jeux de données."
LUC-35,N3: cron + garde C3 + deep link return/:waveId,5,S8,E-Rebond,backend,"Fenêtre 10-20h locale (tz_at_start), 1 max/vague. DoD: seed Marc reçoit N3, Claire non."
LUC-36,Reprise douce (T10-T11) + bandeau 48h (T12),5,S8,E-Rebond,mobile,"3 écrans, pas de rétrospective. DoD: cumul intact après reprise (BR-13)."
LUC-37,É18 si-alors: CRUD + 8 max + sources,5,S9,F-Bilan,mobile,"Formulation 2 champs. DoD: proposition depuis déclencheurs."
LUC-38,Banques de phrases (rédaction + intégration),5,S9,F-Bilan,contenu;clinique,"200-300 phrases conditionnelles validées clinicienne, versionnées. DoD: revue clinicienne signée."
LUC-39,weeklyReport() déterministe + tests 20 semaines,8,S9,F-Bilan,rules,"payload B1-B5 depuis WeekData. DoD: 20 fixtures → 20 bilans distincts cohérents."
LUC-40,É19 rendu B1-B5 + états,5,S10,F-Bilan,mobile,"Sem.1, écart, données insuffisantes, gratuit. DoD: 4 états démontrés."
LUC-41,CRON weekly + N4 + carte bilan dans É11,3,S10,F-Bilan,backend,"Dim 17:55 Europe/Paris, push N4. DoD: génération idempotente (unique user+week)."
LUC-42,Preuves: génération auto + rangée É17,3,S10,F-Bilan,mobile,"Kinds fermés (types.ts). DoD: first_week/craving_10/rebound_record déclenchées par fixtures."
LUC-43,RevenueCat + paywall É10 + essai intro (C1),8,S11,G-Business,mobile;backend,"Annuel présélectionné, webhook→subscriptions. DoD: essai/conversion/annulation/restauration verts sandbox."
LUC-44,Gating gratuit BR-32,5,S11,G-Business,mobile,"SOS/check-in/rebond/coffre toujours ouverts; carte hebdo lundi. DoD: compte gratuit auditée écran par écran."
LUC-45,N1/N2/N5 locales + plafond BR-33,5,S11,G-Business,mobile,"Planification locale, collision→priorité N3>N4>N1>N2, silence 21h30-8h. DoD: jamais >2/jour (test)."
LUC-46,É20 réglages + annulation StoreKit + charte,5,S12,G-Business,mobile,"showManageSubscriptions direct, charte 5 lignes. DoD: annulation sans écran de rétention (revue)."
LUC-47,Export RGPD (JSON serveur + audio local C5),5,S12,G-Business,backend;rgpd,"Job → ZIP JSON lien signé 7j; audio via share sheet in-app. DoD: export reçu <48h et lisible."
LUC-48,Suppression compte + purge cron,5,S12,G-Business,backend;rgpd,"Soft-delete immédiat, purge ≤30j y compris Storage. DoD: vérification SQL staging post-purge."
LUC-49,e2e Detox flux onboarding-triage,5,S13,H-Qualité,e2e,"2 branches (verte/rouge). DoD: stable 10 runs consécutifs."
LUC-50,e2e Detox flux SOS offline,5,S13,H-Qualité,e2e,"Mode avion complet. DoD: stable 10 runs."
LUC-51,e2e Detox flux écart→protocole→rebond,5,S13,H-Qualité,e2e,"Via check-in au-dessus. DoD: stable 10 runs."
LUC-52,Test SOS conditions dégradées (protocole utilisateur),3,S13,H-Qualité,safety;ux,"Protocole CDC §20: utilisateurs fatigués/distraits. DoD: ≥90% réussite de tâche."
LUC-53,Audit accessibilité + corrections,8,S14,H-Qualité,a11y,"VoiceOver 20 écrans, DT XXL, contrastes. DoD: rapport auditeur externe sans bloquant."
