"Jour","Mois","Titre","Catégorie","Stat","Difficulté","Temps","Coût","Objectif","Pourquoi","Instructions","Variante facile","Variante difficile","Récompense","Statut","Validé","Date de validation","Ressenti"
"1","Mois 1","Le premier pas qui compte","Sortie de zone de confort","Courage","1","5 min","0 €","Écrire noir sur blanc la version de toi que tu veux devenir cette année.","Nommer une intention transforme un vague souhait en cap concret. Ton cerveau retient ce qu'il écrit bien mieux que ce qu'il pense.","Prends une feuille ou une note sur ton téléphone. 2. Complète cette phrase : « Dans 365 jours, je veux être quelqu'un qui… ». 3. Relis-la à voix haute une fois, puis garde-la à portée de main.","Écris juste trois mots qui décrivent ce « toi » futur.","Rédige un paragraphe complet et fixe-le en fond d'écran.","Tu transformes une envie floue en direction claire. Le voyage commence.","À venir","Non","",""
"2","Mois 1","Le lit fait, la journée gagnée","Discipline","Discipline","1","3 min","0 €","Faire ton lit dès le réveil, avant toute autre chose.","La première tâche accomplie de la journée envoie un signal : tu prends les commandes. Une petite victoire à 7h en entraîne dix autres.","Au réveil, ne touche pas ton téléphone tout de suite. 2. Tire les draps, ajuste l'oreiller, lisse la couverture. 3. Recule d'un pas et regarde ton lit propre une seconde.","Range simplement l'oreiller et tire la couette par-dessus.","Fais ton lit ET range une autre surface visible (bureau, table de nuit).","Tu démarres la journée par une réussite tangible. Sentiment de contrôle immédiat.","À venir","Non","",""
"3","Mois 1","Le grand verre du matin","Santé","Vitalité","1","2 min","0 €","Boire un grand verre d'eau dans les 10 minutes après ton réveil.","Après une nuit, ton corps est déshydraté. Ce geste minuscule réveille ta vigilance et installe un réflexe santé sans effort.","Pose un verre d'eau près de ton lit ce soir, ou remplis-le au réveil. 2. Bois-le entièrement avant ton café ou ton thé. 3. Note mentalement comment tu te sens cinq minutes après.","Quelques gorgées suffisent pour valider.","Bois l'eau puis fais 30 secondes d'étirements debout.","Tu prends soin de ton corps dès la première minute. Une intention santé qui ne coûte rien.","À venir","Non","",""
"4","Mois 1","Trois lignes de gratitude","Gestion des émotions","Mental","1","5 min","0 €","Noter trois choses concrètes pour lesquelles tu es reconnaissant aujourd'hui.","Entraîner ton attention à repérer le positif réduit le bruit mental négatif. C'est un muscle qui se travaille.","Ouvre une note ou prends un carnet. 2. Écris trois éléments précis (pas « ma vie » mais « le café chaud de ce matin »). 3. Relis-les avant de fermer la note.","Note une seule chose, mais sois très précis.","Note trois choses ET explique en une phrase pourquoi chacune compte.","Tu rééquilibres ton regard sur ta journée. Un calme discret s'installe.","À venir","Non","",""
"5","Mois 1","Dix minutes loin de l'écran","Productivité","Discipline","1","10 min","0 €","Passer dix minutes consécutives sans aucun écran, en pleine conscience.","Reprendre le contrôle de ton attention commence par de courtes coupures volontaires. Tu prouves que tu peux décrocher quand tu veux.","Mets ton téléphone en mode avion et pose-le hors de vue. 2. Marche, regarde par la fenêtre ou bois un thé, sans rien d'autre. 3. Quand les 10 minutes sont passées, observe si ton envie de scroller a baissé.","Fais-le pendant 5 minutes seulement.","Fais-le à l'instant précis où tu scrolles d'habitude, ta main tendue vers le téléphone.","Tu reprends une miette de pouvoir sur ton attention. C'est toi qui décides.","À venir","Non","",""
"6","Mois 1","Un message qui fait du bien","Relations","Charisme","1","5 min","0 €","Envoyer un message sincère à quelqu'un qui compte pour toi.","Entretenir un lien demande peu et rapporte beaucoup. Tu nourris une relation et tu sors une seconde de ton nombril.","Pense à une personne que tu n'as pas contactée depuis un moment. 2. Écris-lui un message vrai : un souvenir, un merci, ou simplement « je pensais à toi ». 3. Envoie-le sans attendre de réponse parfaite en retour.","Un simple « j'espère que tu vas bien » suffit.","Appelle la personne au lieu d'écrire.","Tu te sens connecté et utile. Donner sans rien attendre fait du bien.","À venir","Non","",""
"7","Mois 1","La case rangée","Organisation","Discipline","2","10 min","0 €","Ranger entièrement une seule petite zone de ton espace de vie.","Un espace en ordre apaise l'esprit et crée une preuve visible de ton action. Tu vois le résultat, immédiatement.","Choisis une zone précise et petite (un tiroir, ton bureau, ta table de nuit). 2. Vide-la, trie, jette ou range, remets en place. 3. Prends une photo « avant/après » si tu veux marquer le coup.","Range juste les objets visibles sur une surface.","Range la zone ET donne ou jette trois objets que tu n'utilises plus.","Tu transformes le chaos en clarté. Première semaine bouclée : tu débloques le badge **Semaine Pleine** si tu n'as rien raté.","À venir","Non","",""
"8","Mois 1","La marche qui libère la tête","Sport","Vitalité","2","20 min","0 €","Faire une marche d'au moins vingt minutes, sans destination obligatoire.","Bouger ton corps libère ta tête et installe l'idée que l'activité physique n'a pas besoin d'être intense pour compter.","Mets des chaussures et sors, peu importe la météo (raisonnable). 2. Marche d'un pas régulier, sans téléphone à l'oreille. 3. Au retour, note ton niveau d'énergie comparé au départ.","Marche dix minutes seulement, mais sors vraiment.","Marche sans musique ni podcast, à l'écoute de ce qui t'entoure.","Tu sens ton corps répondre. L'esprit s'allège en même temps que les jambes bougent.","À venir","Non","",""
"9","Mois 1","La tâche que tu repousses","Discipline","Discipline","2","15 min","0 €","Régler une seule petite tâche que tu reportes depuis des jours.","La procrastination pèse plus lourd que la tâche elle-même. La traiter libère une charge mentale invisible que tu traînais.","Identifie cette tâche pénible mais courte (un mail, un appel, un papier). 2. Lance un minuteur de 15 minutes et attaque-la sans perfectionnisme. 3. Termine-la ou avance-la le plus possible avant la sonnerie.","Fais juste la première micro-étape (ouvrir le dossier, composer le numéro).","Repère ce qui t'a fait reporter cette tâche, et écris-le en une phrase.","Tu te débarrasses d'un poids mental. Le soulagement est immédiat et grisant.","À venir","Non","",""
"10","Mois 1","Le compliment osé","Social","Charisme","2","5 min","0 €","Faire un compliment sincère à une personne dans la vraie vie.","Oser parler positivement à quelqu'un muscle ton aisance sociale et crée du lien. Un petit pas hors de ta réserve.","Repère quelque chose de vrai chez quelqu'un (un effort, un style, une attitude). 2. Dis-le simplement, sans en faire trop : « J'aime bien… » ou « Bravo pour… ». 3. Observe la réaction sans chercher à meubler ensuite.","Fais le compliment à un proche, c'est moins intimidant.","Fais-le à un inconnu ou une connaissance lointaine.","Tu réalises que parler aux autres est moins risqué que ta peur le dit. Confiance gagnée.","À venir","Non","",""
